time,open,high,low,close,vwap,volume,count
1738947600,0.072875,0.072966,0.072794,0.072794,1.11772687,4,
1738948500,0.073052,0.073209,0.073018,0.073171,6.31302769,8,
1738949400,0.073096,0.0731,0.073,0.073095,2.15865,11,
1738950300,0.073173,0.073384,0.073173,0.073315,34.79378664,19,
1738951200,0.073419,0.073493,0.073412,0.07345,30.97857,11,
1738952100,0.0735,0.073625,0.073458,0.073625,43.37767273,11,
1738953000,0.073533,0.073758,0.073533,0.073758,58.78325324,16,
1738953900,0.073825,0.07407,0.073739,0.07407,197.22793212,29,
1738954800,0.07403,0.07403,0.073856,0.073856,49.36193328,6,
1738955700,0.073934,0.073934,0.073879,0.073913,38.18672895,37,
1738956600,0.073885,0.073885,0.073643,0.073645,126.01882407,8,
1738957500,0.073586,0.073593,0.073511,0.073593,6.66155643,3,
1738958400,0.073511,0.073539,0.073308,0.073308,34.99500334,13,
1738959300,0.073417,0.073417,0.072754,0.073104,38.95400143,21,
1738960200,0.073269,0.073269,0.073068,0.073163,1.10415359,8,
1738961100,0.073044,0.073499,0.073044,0.073499,8.06398,11,
1738962000,0.07327,0.07327,0.073048,0.073048,25.86459247,7,
1738962900,0.073166,0.073321,0.073113,0.073321,23.61584761,7,
1738963800,0.073352,0.073352,0.073322,0.073322,10.68523309,2,
1738964700,0.073509,0.073596,0.073407,0.073425,3.9695001,7,
1738965600,0.073197,0.073328,0.073197,0.073328,7.97432,6,
1738966500,0.073019,0.07332,0.072935,0.073309,29.898073,6,
1738967400,0.073419,0.073574,0.073419,0.073571,19.48619016,7,
1738968300,0.073529,0.0736,0.073529,0.073591,11.59606899,5,
1738969200,0.073603,0.073702,0.073603,0.073702,0.32552167,4,
1738970100,0.073706,0.073786,0.073509,0.073522,121.08085344,14,
1738971000,0.073667,0.073667,0.073485,0.073485,3.64850729,2,
1738971900,0.073369,0.073435,0.073272,0.073272,3.02004285,3,
1738972800,0.073187,0.073224,0.073057,0.073196,1.74076334,7,
1738973700,0.073063,0.07309,0.072684,0.072955,227.91854512,42,
1738974600,0.072636,0.072675,0.072636,0.072657,9.3944717,4,
1738975500,0.072926,0.072926,0.072926,0.072926,16.19022,1,
1738976400,0.073142,0.073274,0.07302,0.07322,4.68368545,13,
1738977300,0.073152,0.073397,0.073152,0.073397,5.13805571,4,
1738978200,0.073271,0.073271,0.073271,0.073271,0.13651923,1,
1738979100,0.073177,0.073222,0.073163,0.073209,18.87802995,7,
1738980000,0.073233,0.07324,0.073096,0.073096,3.44904246,4,
1738980900,0.072987,0.072987,0.072987,0.072987,9.66475,1,
1738981800,0.073058,0.073159,0.073058,0.073159,0.20411,3,
1738982700,0.07313,0.073161,0.073105,0.073161,0.35691616,3,
1738983600,0.073261,0.073368,0.073126,0.07325,111.59281965,10,
1738984500,0.073127,0.073241,0.072999,0.072999,140.61835008,6,
1738985400,0.073065,0.073216,0.073065,0.073216,50.90555,3,
1738986300,0.07305,0.07307,0.07305,0.07307,1.53561405,2,
1738987200,0.073011,0.073011,0.073007,0.073007,1.33487475,2,
1738988100,0.072749,0.072775,0.072724,0.072774,106.54019228,7,
1738989000,0.072834,0.072846,0.07271,0.072732,0.96102571,6,
1738989900,0.072729,0.072924,0.072729,0.072924,2.13350918,4,
1738990800,0.072684,0.072684,0.072532,0.072532,0.72063239,8,
1738991700,0.072517,0.072767,0.072517,0.072726,76.95294495,7,
1738992600,0.072676,0.0727,0.072612,0.0727,53.7023068,6,
1738994400,0.072751,0.072751,0.072619,0.072619,1.00184614,3,
1738995300,0.072871,0.072892,0.07285,0.07285,3.30227827,3,
1738996200,0.072811,0.072867,0.072811,0.072867,6.29030041,4,
1738997100,0.072891,0.072891,0.072891,0.072891,0.80605419,1,
1738998000,0.072934,0.073166,0.072934,0.073068,132.94074249,7,
1738998900,0.073085,0.073085,0.073018,0.073018,2.69339434,3,
1738999800,0.073189,0.073189,0.073186,0.073186,1.9,2,
1739000700,0.073291,0.073405,0.073291,0.073405,2.25867616,3,
1739001600,0.073419,0.073684,0.073419,0.073684,4.77169957,8,
1739002500,0.073702,0.073726,0.073647,0.073647,1.38474098,5,
1739003400,0.073616,0.073616,0.073616,0.073616,0.21,1,
1739004300,0.073589,0.073589,0.073589,0.073589,5.0,2,
1739005200,0.073615,0.073725,0.073615,0.073725,17.46,2,
1739006100,0.073813,0.0739,0.073795,0.07386,19.61489158,9,
1739007000,0.073919,0.073972,0.073919,0.073972,6.97350871,6,
1739007900,0.073993,0.074118,0.073993,0.074118,3.06120342,9,
1739008800,0.07411,0.074313,0.07411,0.074181,387.91240135,22,
1739009700,0.074261,0.074276,0.074106,0.074106,4.93310867,4,
1739010600,0.073952,0.073965,0.0739,0.073965,67.90276941,8,
1739011500,0.073927,0.073927,0.073927,0.073927,11.5065,1,
1739012400,0.073985,0.074089,0.073985,0.074089,115.34950353,5,
1739013300,0.074012,0.074314,0.074004,0.074314,3.82104895,7,
1739015100,0.07433,0.074711,0.074275,0.074275,477.75671,33,
1739016000,0.074378,0.074403,0.074202,0.074202,0.69703024,4,
1739016900,0.074245,0.074399,0.074176,0.074198,7.02035208,7,
1739017800,0.074204,0.074204,0.074204,0.074204,2.42503,2,
1739020500,0.07457,0.07457,0.074516,0.074516,8.40817255,5,
1739021400,0.074477,0.074571,0.074369,0.074571,6.9654418,5,
1739022300,0.07462,0.07462,0.07458,0.07458,4.89925866,4,
1739023200,0.074604,0.074604,0.074527,0.074582,181.39538733,11,
1739024100,0.074483,0.074483,0.074417,0.074417,3.05,4,
1739025000,0.07445,0.075151,0.07445,0.074512,1646.17375186,53,
1739025900,0.074458,0.074465,0.074356,0.074356,56.69578031,16,
1739026800,0.074388,0.074388,0.074385,0.074385,24.4973889,2,
1739027700,0.074363,0.074363,0.074363,0.074363,1.58331,1,
1739028600,0.074482,0.074482,0.074482,0.074482,2.27968,1,
1739029500,0.074345,0.074345,0.074201,0.074201,2.6267529,8,
1739030400,0.074506,0.074506,0.074506,0.074506,0.44902,1,
1739031300,0.074694,0.074716,0.074694,0.074716,11.4895758,2,
1739032200,0.074696,0.074721,0.074525,0.074602,4.58317,7,
1739033100,0.074658,0.074817,0.074629,0.074796,79.6956766,14,
1739034000,0.074791,0.074815,0.074791,0.074815,0.47917,3,
1739034900,0.074544,0.074544,0.074541,0.074541,0.12333,2,
1739035800,0.074696,0.074709,0.074482,0.074685,6.55346872,8,
1739036700,0.07487,0.074897,0.07487,0.074897,0.13421,2,
1739037600,0.074916,0.074952,0.074838,0.074838,97.52698681,13,
1739038500,0.074773,0.074773,0.074643,0.074731,8.61539385,6,
1739039400,0.07463,0.074834,0.07463,0.074736,2.5700994,10,
1739040300,0.074717,0.074744,0.074717,0.074744,2.587325,2,
1739041200,0.075,0.075,0.075,0.075,0.13967785,1,
1739042100,0.07494,0.074957,0.074871,0.074871,8.40993232,4,
1739043000,0.074852,0.075043,0.074829,0.074829,5.85372086,8,
1739043900,0.074847,0.074883,0.074753,0.074753,2.23923895,6,
1739044800,0.074734,0.075001,0.074731,0.075001,2.47898629,4,
1739046600,0.074847,0.075005,0.074844,0.074897,4.67077293,9,
1739047500,0.074937,0.075022,0.074937,0.075022,0.7193818,2,
1739048400,0.07496,0.07496,0.07496,0.07496,0.13589,1,
